Book Name;ISBN;Price (EUR);Original Price;Original Currency;Available
Ярость;N/A;15,14;55,00;ILS;Yes
Явление призраков;N/A;15,14;55,00;ILS;Yes
Советский цадик. Рассказы о Рыбницком ребе: от Днестра до Гудзона;N/A;28,90;105,00;ILS;No
О свободе. С приложением очерка Цивилизация;N/A;22,02;80,00;ILS;Yes
Стихотворения Голубчика-Гостова;N/A;24,77;90,00;ILS;Yes
Сквозь века и тысячелетия. История евреев;N/A;63,31;230,00;ILS;Yes
Двадцать минут тишины;N/A;19,27;70,00;ILS;No
Альфа Центавра. Документальная поэма о космонавтах, которые не были в космосе;N/A;15,14;55,00;ILS;No
Персы;N/A;19,27;70,00;ILS;Yes
Панические рассказы. Сам ты Юпитер;N/A;16,52;60,00;ILS;Yes
Nordic Dads. 14 историй о том, как активное отцовство меняет жизнь детей и их родителей;N/A;28,90;105,00;ILS;Yes
Евреи Сатурна;N/A;24,77;90,00;ILS;No
СМОНГ;N/A;27,53;100,00;ILS;Yes
Мы всё поправили;N/A;16,52;60,00;ILS;No
Нечётная сторона;N/A;13,76;50,00;ILS;Yes
Которая мировая?;N/A;8,26;30,00;ILS;Yes
Почему я?!;N/A;19,27;70,00;ILS;Yes
Птицы и облака;N/A;16,52;60,00;ILS;Yes
Антология еврейской средневековой философии;N/A;57,81;210,00;ILS;Yes
Врата сострадания (мистификация);N/A;27,53;100,00;ILS;Yes
Забытой радости глоток;N/A;15,14;55,00;ILS;Yes
Альбом души;N/A;8,26;30,00;ILS;Yes
Пока я был с тобой;N/A;11,01;40,00;ILS;Yes
Белое солнце Холона;N/A;22,02;80,00;ILS;Yes
Крепость над бездной;N/A;33,03;120,00;ILS;Yes
Литературный процесс в Германии первой половины ХХ века;N/A;11,01;40,00;ILS;No
День без наркотиков;N/A;16,52;60,00;ILS;Yes
Революция терпения. Беларуский бриколаж;N/A;20,64;75,00;ILS;No
Дневники Григола Перадзе. Палестина, 1936 год;N/A;16,52;60,00;ILS;Yes
Еврей. Смех и горе;N/A;17,89;65,00;ILS;Yes
Песни и поэмы;N/A;17,89;65,00;ILS;Yes
Последние рыцари Утремера;N/A;31,66;115,00;ILS;Yes
Еврейские профессии и профессии евреев;N/A;30,28;110,00;ILS;Yes
Родина. Двухтомник;N/A;217,46;790,00;ILS;Yes
Древнееврейские мифы;N/A;28,90;105,00;ILS;No
О смысле жизни;N/A;19,27;70,00;ILS;Yes
Когда задвиголось и загремело;N/A;15,14;55,00;ILS;Yes
Шкловцы;N/A;19,27;70,00;ILS;Yes
Экспресс-36;N/A;22,02;80,00;ILS;Yes
Дядя Зяма;N/A;23,40;85,00;ILS;No
Когда все кончилось;N/A;20,64;75,00;ILS;Yes
Улица;N/A;19,27;70,00;ILS;Yes
Менахем-мендл. Новые письма;N/A;22,02;80,00;ILS;Yes
В пятницу вечером;N/A;23,40;85,00;ILS;Yes
Цемах атлас (ешива) (В 2-х Т.);N/A;57,81;210,00;ILS;Yes
Лям и Петрик;N/A;19,27;70,00;ILS;Yes
Безмужняя;N/A;24,77;90,00;ILS;No
Тени над Гудзоном;N/A;24,77;90,00;ILS;No
